代码,名称,细分行业,当前价格,市盈率(TTM),净资产收益率(%),股息率(%),涨跌位,beta系数,流通市值,总市值
000739,普洛药业,原料药,16.09,17.72,13.22,1.94,17.398269785325216,0.67,92.83亿,188.14亿
002372,伟星新材,管材,12.64,17.27,13.09,6.93,13.650213284582577,0.95,75.97亿,201.23亿
002508,老板电器,厨房电器,22.75,13.87,11.13,4.36,16.71944268524383,0.62,100.43亿,214.79亿
002557,洽洽食品,零食,31.77,17.76,11.26,3.06,17.521090201168064,0.63,92.32亿,161.07亿
002572,索菲亚,家具,17.59,14.24,13.22,5.43,20.084485407066055,0.80,96.35亿,169.40亿
002867,周大生,钟表珠宝,14.30,14.49,13.78,6.62,14.722883373002379,0.65,55.87亿,156.72亿
002984,森麒麟,轮胎轮毂,24.68,12.19,13.48,2.02,13.135313531353138,0.67,132.07亿,254.07亿
300724,捷佳伟创,光伏加工设备,65.78,9.78,19.51,1.75,13.863150392017106,1.89,166.08亿,228.73亿
600872,中炬高新,调味品,24.10,5.40,11.78,1.60,13.679003922906368,1.29,133.89亿,188.76亿
603298,杭叉集团,工程机械整机,17.93,11.92,16.20,1.97,26.10441767068272,1.07,89.89亿,234.85亿
603444,吉比特,游戏,214.13,17.36,13.88,2.91,13.600732518927131,1.28,90.77亿,154.26亿
603589,口子窖,白酒,40.75,14.75,12.90,3.62,13.058353925109293,1.31,144.72亿,244.50亿
603816,顾家家居,家具,28.33,12.99,13.89,4.66,9.876720183486233,1.06,109.04亿,232.84亿
688516,奥特维,光伏加工设备,43.49,8.95,26.13,5.11,2.640222334512381,2.15,66.33亿,136.99亿
000568,泸州老窖,白酒,132.60,14.21,25.52,3.92,14.724140946052284,1.06,955.03亿,1951.83亿
000661,长春高新,基因药物,103.68,11.35,12.14,4.30,5.876543209876544,0.99,302.57亿,417.10亿
000786,北新建材,其他建材,28.60,12.62,12.51,2.86,23.75838926174497,0.53,251.83亿,483.20亿
000858,五 粮 液,白酒,144.59,17.79,18.28,4.89,15.251534720561272,0.92,2529.96亿,5612.42亿
002001,新 和 成,食品助剂,21.35,14.49,14.53,2.08,20.43284532145131,0.47,316.43亿,659.91亿
002304,洋河股份,白酒,83.67,15.07,16.04,5.55,6.1364328494569085,0.76,482.90亿,1260.44亿
002555,三七互娱,游戏,16.50,16.04,15.06,5.80,17.200154261473198,1.02,232.94亿,365.95亿
002601,龙佰集团,钛白粉,17.69,11.72,10.74,5.02,7.911135193714445,0.77,272.38亿,422.14亿
002648,卫星化学,有机化工原料,17.38,11.72,13.27,2.28,14.935414424111945,0.61,290.03亿,585.47亿
300316,晶盛机电,光伏加工设备,32.38,10.73,17.37,2.13,17.033477991320524,1.58,191.85亿,424.03亿
600188,兖矿能源,动力煤,14.59,9.21,14.03,9.42,12.911339341857053,0.97,217.69亿,870.20亿
600309,万华化学,聚氨酯,73.52,15.43,11.90,2.87,8.081534772182247,1.09,1218.08亿,2308.34亿
600887,伊利股份,乳制品,29.20,15.63,19.33,4.10,26.26953125,1.06,1692.41亿,1858.86亿
603833,欧派家居,家具,70.65,16.57,11.01,3.66,22.791216970599184,1.13,110.48亿,430.37亿
